,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
0,1,ACLBSL,"1,037.00",12.10,1.18,"1,020.00","1,040.00","1,019.00","5,468.00","1,024.90"
1,2,ADBL,284.00,3.00,1.07,281.00,284.90,280.50,"36,936.00",281.00
2,3,ADBLD83,"1,100.00",20.00,1.85,"1,091.00","1,100.00","1,091.00",400.00,"1,080.00"
3,4,AHL,817.00,14.00,1.74,813.60,818.90,803.20,"12,336.00",803.00
4,5,AHPC,258.30,6.30,2.50,250.00,261.90,249.90,"131,570.00",252.00
5,6,AKJCL,199.50,5.00,2.57,197.00,202.00,195.00,"165,835.00",194.50
6,7,AKPL,239.00,5.10,2.18,232.00,240.20,232.00,"149,188.00",233.90
7,8,ALBSL,840.00,8.00,0.96,816.00,859.00,816.00,"7,489.00",832.00
8,9,ALICL,742.60,9.10,1.24,742.00,745.00,734.10,"25,554.00",733.50
9,10,ANLB,"4,998.00",83.00,1.69,"4,825.00","5,000.00","4,820.00",582.00,"4,915.00"
10,11,API,276.00,11.00,4.15,268.00,280.00,263.20,"280,865.00",265.00
11,12,AVYAN,"1,040.00",-5.00,-0.48,"1,058.00","1,058.00","1,024.10","6,532.00","1,045.00"
12,13,BARUN,446.00,12.00,2.76,427.00,450.00,427.00,"201,953.00",434.00
13,14,BBC,"5,832.00",150.90,2.66,"5,585.00","6,164.00","5,585.00","1,910.00","5,681.10"
14,15,BEDC,753.50,13.50,1.82,740.00,788.00,736.20,"41,653.00",740.00
15,16,BFC,620.00,5.00,0.81,605.00,624.10,603.00,"51,080.00",615.00
16,17,BGWT,"1,067.90",12.40,1.17,"1,040.00","1,081.00","1,040.00","6,963.00","1,055.50"
17,18,BHDC,720.00,10.00,1.41,712.00,729.00,706.00,"28,949.00",710.00
18,19,BHL,377.30,16.30,4.52,355.00,384.00,355.00,"28,677.00",361.00
19,20,BHPL,"1,040.00",-93.00,-8.21,"1,110.40","1,245.00","1,019.70","43,088.00","1,133.00"
20,21,BNHC,530.00,17.90,3.50,501.90,542.00,501.90,"48,591.00",512.10
21,22,BNT,"13,551.10",-102.90,-0.75,"13,700.00","13,900.00","13,551.00",110.00,"13,654.00"
22,23,BOKD86,"1,030.00",5.00,0.49,"1,025.00","1,030.00","1,025.00",80.00,"1,025.00"
23,24,BOKD86KA,"1,115.30",-83.20,-6.94,"1,174.60","1,174.60","1,115.30","4,738.00","1,198.50"
24,25,BPCL,399.00,15.20,3.96,380.10,404.00,380.10,"35,610.00",383.80
25,26,C30MF,9.00,-0.10,-1.10,8.95,9.00,8.95,400.00,9.10
26,27,CBBL,854.00,10.90,1.29,845.00,860.00,844.00,"9,165.00",843.10
27,28,CBLD88,"1,160.00",22.70,2.00,"1,160.00","1,160.00","1,118.10","2,055.00","1,137.30"
28,29,CCBD88,"1,190.00",72.00,6.44,"1,140.30","1,190.00","1,140.30","10,000.00","1,118.00"
29,30,CFCL,538.00,-2.10,-0.39,550.80,550.80,530.00,"39,512.00",540.10
30,31,CGH,906.00,19.00,2.14,904.70,920.00,887.00,"37,848.00",887.00
31,32,CHCL,514.90,14.90,2.98,500.00,514.90,499.00,"71,874.00",500.00
32,33,CHDC,"1,851.00",76.00,4.28,"1,810.50","1,864.00","1,785.00","159,609.00","1,775.00"
33,34,CHL,458.00,8.00,1.78,450.00,460.00,446.10,"63,619.00",450.00
34,35,CIT,"2,009.00",24.00,1.21,"1,985.00","2,014.00","1,980.00","16,198.00","1,985.00"
35,36,CITY,929.50,14.50,1.58,918.00,935.00,912.50,"30,909.00",915.00
36,37,CIZBD90,"1,135.20",22.20,1.99,"1,135.20","1,135.20","1,135.20",4.00,"1,113.00"
37,38,CKHL,816.00,20.00,2.51,795.00,816.00,792.10,"25,111.00",796.00
38,39,CLI,710.50,6.50,0.92,715.00,715.00,700.80,"60,717.00",704.00
39,40,CMF1,10.73,0.12,1.13,10.72,10.82,10.72,"6,200.00",10.61
40,41,CMF2,9.28,0.04,0.43,9.42,9.42,9.28,"4,200.00",9.24
41,42,CORBL,"1,757.80",159.80,10.00,"1,629.00","1,757.80","1,566.20","42,128.00","1,598.00"
42,43,CYCL,"1,543.10",19.10,1.25,"1,515.00","1,559.90","1,515.00","4,412.00","1,524.00"
43,44,CZBIL,207.40,3.90,1.92,205.00,208.60,203.10,"106,280.00",203.50
44,45,DDBL,784.00,4.00,0.51,785.00,811.00,778.00,"14,396.00",780.00
45,46,DHPL,316.80,4.80,1.54,318.20,318.80,309.20,"46,637.00",312.00
